Date,Close/Last,Volume,Open,High,Low
02/04/2019,$7,1288760,$7.02,$7.06,$6.8
02/05/2019,$7.3,1842714,$6.87,$7.33,$6.865
02/06/2019,$7.32,1469472,$7.3,$7.53,$7.26
02/07/2019,$7.48,1813950,$7.32,$7.6,$7.27
02/08/2019,$7.44,1095026,$7.4,$7.55,$7.27
02/11/2019,$7.73,2438157,$7.55,$7.78,$7.45
02/12/2019,$7.6,1901778,$7.9,$7.94,$7.46
02/13/2019,$7.68,1192493,$7.65,$7.84,$7.5109
02/14/2019,$7.66,1088203,$7.63,$7.83,$7.61
02/15/2019,$7.65,1297967,$7.72,$7.78,$7.56
02/19/2019,$7.56,1608207,$7.57,$7.65,$7.41
02/20/2019,$7.23,2484067,$7.49,$7.5161,$7.01
02/21/2019,$7.37,1245644,$7.26,$7.53,$7.26
02/22/2019,$7.78,1609800,$7.42,$7.78,$7.38
02/25/2019,$8.06,2174174,$7.82,$8.15,$7.71
02/26/2019,$8.09,2393211,$8.01,$8.18,$7.85
02/27/2019,$8.87,6182126,$8.4,$9.1192,$8.02
02/28/2019,$9.07,3523181,$9,$9.4,$8.7731
03/01/2019,$9.1,4635643,$9.11,$9.3,$9.025
03/04/2019,$8.78,4228311,$9.19,$9.24,$8.65
03/05/2019,$8.7,2422506,$8.76,$8.86,$8.31
03/06/2019,$8.38,2473217,$8.85,$9.075,$8.2
03/07/2019,$8.29,2912183,$8.34,$8.63,$8.24
03/08/2019,$8.46,1851888,$8.19,$8.4792,$8.03
03/11/2019,$8.84,2338012,$8.44,$8.9,$8.43
03/12/2019,$9,1373788,$8.84,$9.04,$8.78
03/13/2019,$9.36,1757321,$9.05,$9.38,$9.05
03/14/2019,$9.38,1857842,$9.35,$9.53,$9.23
03/15/2019,$9.05,2246453,$9.4,$9.44,$9.03
03/18/2019,$9.67,1494182,$9.18,$9.7,$9.18
03/19/2019,$9.2,3670759,$8.86,$9.46,$8.8
03/20/2019,$9.18,1504295,$9.14,$9.4,$9
03/21/2019,$9.38,1703845,$9.22,$9.565,$9.15
03/22/2019,$9.19,1662170,$9.35,$9.48,$9.04
03/25/2019,$9.03,2008152,$9.19,$9.2,$8.61
03/26/2019,$8.71,2020367,$9.09,$9.09,$8.565
03/27/2019,$8.8,1029744,$8.74,$8.83,$8.5749
03/28/2019,$9.08,1464374,$8.82,$9.1,$8.76
03/29/2019,$9.23,1840951,$9.17,$9.395,$9.15
04/01/2019,$9.26,2439315,$9.15,$9.32,$9.055
04/02/2019,$9.35,1148388,$9.27,$9.42,$9.16
04/03/2019,$9.69,2387004,$9.4,$9.79,$9.4
04/04/2019,$9.52,1188583,$9.6,$9.7399,$9.47
04/05/2019,$9.84,2576359,$9.53,$9.98,$9.53
04/08/2019,$10.24,2292277,$10,$10.25,$9.965
04/09/2019,$10.03,1899603,$10.24,$10.36,$10
04/10/2019,$10.15,1761727,$10.01,$10.3,$10.01
04/11/2019,$9.8,1859624,$10.18,$10.18,$9.76
04/12/2019,$9.93,1163062,$9.93,$10.088,$9.8466
04/15/2019,$9.59,2116591,$9.99,$10.183,$9.41
04/16/2019,$9.66,1174681,$9.62,$9.755,$9.56
04/17/2019,$9.73,897808,$9.75,$9.78,$9.6114
04/18/2019,$9.45,1186615,$9.73,$9.8354,$9.39
04/22/2019,$9.28,1436911,$9.43,$9.4389,$9.15
04/23/2019,$9.75,2711579,$9.32,$9.86,$9.23
04/24/2019,$9.83,1299167,$9.78,$10,$9.64
04/25/2019,$9.91,1144356,$9.85,$9.99,$9.76
04/26/2019,$10.43,4418221,$9.92,$10.47,$9.9
04/29/2019,$10.21,2043462,$10.38,$10.49,$10.195
04/30/2019,$10.04,2607506,$10.29,$10.29,$9.8
05/01/2019,$12.98,15852960,$12.3,$13.2,$12
05/02/2019,$12.93,3633996,$12.4,$13.04,$12.36
05/03/2019,$13.83,4101389,$12.93,$13.8792,$12.93
05/06/2019,$13.75,2482844,$13.5,$13.895,$13.4301
05/07/2019,$14.21,3277826,$13.65,$14.29,$13.65
05/08/2019,$13.93,2366463,$14.27,$14.32,$13.55
05/09/2019,$13.56,2543984,$13.83,$13.91,$13.189
05/10/2019,$14.02,2635568,$13.45,$14.13,$13.42
05/13/2019,$13.69,2320044,$13.65,$13.95,$13.27
05/14/2019,$14.02,2137811,$13.75,$14.16,$13.75
05/15/2019,$14.58,2890230,$13.96,$14.64,$13.93
05/16/2019,$14.82,2390368,$14.65,$14.9484,$14.2
05/17/2019,$14.65,1778996,$14.75,$14.8862,$14.41
05/20/2019,$14.31,2233636,$14.58,$14.65,$13.85
05/21/2019,$14.88,2009725,$14.4,$15,$14.28
05/22/2019,$15.22,2385441,$14.86,$15.25,$14.83
05/23/2019,$14.68,2663193,$15.1,$15.15,$14.46
05/24/2019,$15.36,2498384,$14.79,$15.4,$14.79
05/28/2019,$15.81,3642322,$15.39,$15.94,$15.39
05/29/2019,$16.29,2525725,$15.8,$16.29,$15.49
05/30/2019,$15.77,10071790,$15.92,$15.99,$14.9
05/31/2019,$15.17,5425140,$15.4,$15.4,$14.56
06/03/2019,$15.71,2532821,$15.09,$15.77,$14.97
06/04/2019,$15.97,2759127,$15.92,$16.29,$15.81
06/05/2019,$15.92,2344938,$16,$16.11,$15.52
06/06/2019,$15.68,3333140,$15.95,$16.0599,$15.53
06/07/2019,$16.36,3386892,$15.71,$16.87,$15.71
06/10/2019,$16.19,3248606,$16.78,$16.85,$16.1
06/11/2019,$17.07,4033027,$16.41,$17.15,$16.27
06/12/2019,$17.08,4271708,$17.22,$17.545,$17.01
06/13/2019,$17.51,4329741,$17.5,$17.68,$16.71
06/14/2019,$17.33,2648122,$17.41,$17.48,$17
06/17/2019,$17.75,2866643,$17.46,$17.7875,$17.145
06/18/2019,$18.8,4731938,$17.95,$19.13,$17.92
06/19/2019,$18.63,4293879,$19.01,$19.06,$18
06/20/2019,$18.4,3349676,$18.4,$18.74,$18.15
06/21/2019,$17.64,3101174,$18.22,$18.3,$17.63
06/24/2019,$17.49,2626685,$17.65,$18.299,$17.46
06/25/2019,$16.29,4261840,$17.42,$17.47,$16.15
06/26/2019,$16.79,2455542,$16.4,$16.94,$16.32
06/27/2019,$17.92,2712902,$16.91,$18.07,$16.9
06/28/2019,$18.23,6928834,$17.96,$18.28,$17.64
07/01/2019,$18.3,3409767,$18.8,$18.88,$18.15
07/02/2019,$18.56,1980883,$18.25,$18.6592,$17.96
07/03/2019,$18.97,1891196,$18.67,$19.23,$18.67
07/05/2019,$19.64,2474262,$19.01,$19.715,$18.56
07/08/2019,$19.97,3775275,$19.63,$20.18,$19.28
07/09/2019,$20.42,3685233,$20,$20.59,$19.86
07/10/2019,$19.89,4919003,$20.58,$20.67,$19.09
07/11/2019,$19.48,4329769,$20.005,$20.37,$19.22
07/12/2019,$19.67,3275540,$19.57,$19.93,$19.32
07/15/2019,$19.66,2479014,$19.82,$19.9,$19.28
07/16/2019,$20.35,3761389,$19.72,$20.5856,$19.52
07/17/2019,$20.19,2310621,$20.31,$20.54,$20.1
07/18/2019,$20.66,5944266,$20.15,$20.77,$20.03
07/19/2019,$20.81,3346096,$20.72,$21.17,$20.58
07/22/2019,$21.26,3009896,$21.03,$21.28,$20.68
07/23/2019,$19.65,5561604,$21.38,$21.5143,$19.14
07/24/2019,$20.02,2537716,$19.65,$20.0739,$19.36
07/25/2019,$19.8,2602616,$20.45,$20.46,$19.72
07/26/2019,$20.8,3104594,$19.89,$20.84,$19.8
07/29/2019,$21.2,3592812,$21,$21.32,$20.14
07/30/2019,$21.65,5147104,$21,$21.7,$20.7
07/31/2019,$28.15,22313410,$26.31,$28.93,$26.29
08/01/2019,$30.1,11806000,$28.58,$31.165,$28.2
08/02/2019,$29.12,6600289,$29.49,$29.89,$28.35
